event_name,description,object_name,event_time,orbit_number,periap_time,event_data
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-356T08:47:47.849,25,+00000T10:24:36.298,{"event-data":" 8.860860628417800E-01 1.658899853779309E-01 1.800000000000000E+02 1.229215318233687E+02 9.688900992613883E+00 2.541149005680763E+02 1.114654757636637E+02 1.887708637989013E+02 2.609340997547451E+02 3.403657812597699E+08 8.062155708319647E-01 7.495259681422713E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-356T10:36:10.081,25,+00000T12:05:21.988,{"event-data":" 7.766180175476219E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-356T16:20:03.611,25,+00000T18:09:24.179,{"event-data":" 2.005411669331583E+02 06:07:24 "}
PERIAP,Periapsis,BENNU,2020-356T19:21:46.968,25,+00000T00:00:00.000,{"event-data":" 8.780257289776655E-01 1.509282523114912E-01 0.000000000000000E+00 1.223073368352276E+02 1.028962045385651E+01 2.557416321901560E+02 1.062663971935258E+02 2.404141658363619E+00 7.526962650900768E+01 3.402932452387314E+08 5.053200674333918E-01 1.679640218126994E+02 1.762752936698294E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-356T20:15:57.986,25,+00000T00:59:32.775,{"event-data":" 5.030590783512447E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-357T00:50:11.582,25,+00000T05:27:44.349,{"event-data":" 2.847174550212029E+01 18:09:53 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-357T05:47:53.112,26,+00000T10:23:48.573,{"event-data":" 8.853336262407003E-01 1.658403105037643E-01 1.800000000000000E+02 1.230314455931542E+02 1.046985562370497E+01 2.549185367030899E+02 1.110473384446471E+02 2.284926286134080E+02 2.609395795229580E+02 3.402199922328205E+08 7.969189145103189E-01 7.485714597959687E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-357T07:34:08.072,26,+00000T12:02:40.398,{"event-data":" 7.763190589600698E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-357T13:18:14.937,26,+00000T18:07:34.322,{"event-data":" 2.426534334977990E+02 06:06:57 "}
PERIAP,Periapsis,BENNU,2020-357T16:20:47.239,26,+00000T00:00:00.000,{"event-data":" 8.774385366462949E-01 1.507000553722198E-01 0.000000000000000E+00 1.224126514152499E+02 1.106808710582723E+01 2.564120792859790E+02 1.059225486041118E+02 4.341984491069000E+01 7.528480234400335E+01 3.401443170890368E+08 5.073651413998651E-01 1.704782437918670E+02 1.761932269343447E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-357T17:14:12.008,26,+00000T00:58:46.843,{"event-data":" 5.026236480425498E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-357T21:47:48.886,26,+00000T05:26:33.803,{"event-data":" 7.137510485355325E+01 18:09:25 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-358T02:45:45.932,27,+00000T10:22:45.127,{"event-data":" 8.843328494911359E-01 1.650001203305643E-01 1.800000000000000E+02 1.231322028202685E+02 1.125945498381856E+01 2.555837475907483E+02 1.107714730427891E+02 2.712928088330521E+02 2.609179014450404E+02 3.400679929484234E+08 7.892688683063824E-01 7.473025463481493E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-358T04:30:21.962,27,+00000T11:59:57.198,{"event-data":" 7.749477884995220E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-358T10:14:11.583,27,+00000T18:05:12.681,{"event-data":" 2.878962376932486E+02 06:06:28 "}
PERIAP,Periapsis,BENNU,2020-358T13:17:09.944,27,+00000T20:29:25.864,{"event-data":" 8.767082086764731E-01 1.498203819444420E-01 0.000000000000000E+00 1.225109005597201E+02 1.186168214120852E+01 2.569194565383478E+02 1.057783826145797E+02 8.828889849784092E+01 7.526492901507842E+01 3.399892820653555E+08 5.150511187076028E-01 1.731802891244514E+02 1.761088049358646E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-358T14:10:17.814,27,+00000T00:58:35.236,{"event-data":" 5.027620591260585E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-358T18:43:46.652,27,+00000T05:26:37.441,{"event-data":" 1.165941330706731E+02 18:08:58 "}
